FIPS,Incidence_Rate,Avg_Ann_Incidence,Recent Trend,StateFIPS,Mortality_Rate,Avg_Ann_Deaths,State,AreaName,All_Poverty,M_Poverty,F_Poverty,Med_Income,M_With,M_Without,F_With,F_Without,All_With,All_Without,POPESTIMATE2015
01113,78.7,47,stable,01,64,38,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01115,74.7,72,stable,01,65,61,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01117,57.1,108,stable,01,47.3,88,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01119,55.5,9,stable,01,51,9,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01121,74,74,stable,01,61,61,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01123,70.5,41,stable,01,54.5,32,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01125,72.3,135,stable,01,54.4,100,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01127,98.3,89,stable,01,79.8,71,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01129,74.8,16,stable,01,65.3,14,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01131,73.2,11,stable,01,61.7,9,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01133,90.8,31,stable,01,69.9,24,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
02020,61.5,131,stable,02,47.3,96,AK,Alaska,72957.0,34991.0,37966.0,72515.0,292831.0,70923.0,287563.0,58041.0,580394.0,128964.0,738432.0
02090,58.1,36,stable,02,54,31,AK,Alaska,72957.0,34991.0,37966.0,72515.0,292831.0,70923.0,287563.0,58041.0,580394.0,128964.0,738432.0
02110,35.1,9,stable,02,34.4,8,AK,Alaska,72957.0,34991.0,37966.0,72515.0,292831.0,70923.0,287563.0,58041.0,580394.0,128964.0,738432.0
02122,64.9,39,stable,02,50.1,28,AK,Alaska,72957.0,34991.0,37966.0,72515.0,292831.0,70923.0,287563.0,58041.0,580394.0,128964.0,738432.0
02170,69.7,51,stable,02,53.9,37,AK,Alaska,72957.0,34991.0,37966.0,72515.0,292831.0,70923.0,287563.0,58041.0,580394.0,128964.0,738432.0
04001,22.9,16,rising,04,17.7,12,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04003,46.9,84,stable,04,37,65,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04005,36.7,39,stable,04,25.6,26,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04007,54.3,52,stable,04,43.8,42,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04009,45.5,16,stable,04,33.8,12,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04012,54.4,25,stable,04,37.7,18,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04013,52.2,2059,falling,04,37.2,"1,463",AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04015,76.6,280,stable,04,59.1,216,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04017,39.6,46,stable,04,31,35,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04019,50.9,628,stable,04,37.3,464,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04021,45.5,201,falling,04,33.6,146,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04023,36.1,19,stable,04,23.1,12,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04025,51.9,203,stable,04,38.1,151,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
04027,48,115,stable,04,30.9,74,AZ,Arizona,1180690.0,547517.0,633173.0,50255.0,2675843.0,531541.0,2875282.0,450843.0,5551125.0,982384.0,6828065.0
05001,85.9,21,stable,05,67.8,17,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05003,77,23,stable,05,58.6,17,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05005,85.6,71,stable,05,64.3,54,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05007,56.4,129,stable,05,47,106,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05009,67.7,35,stable,05,62.6,33,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
