 FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Average Annual Count,Recent Trend
19083,58.5,16,stable
19085,86.4,18,stable
19087,70.4,18,stable
19089,41.9,6,stable
19091,54.5,9,stable
19093,55.6,6,stable
19095,47.5,11,stable
19097,66.1,18,stable
19099,72.4,36,stable
19101,49.5,11,stable
19103,50.5,53,stable
19105,57.8,17,stable
19107,68.1,10,stable
19109,58,14,stable
19111,73.2,36,stable
19113,65.7,152,falling
19115,64.1,9,stable
19117,60.1,8,stable
19119,45.2,7,stable
19121,58.2,11,stable
19123,79.1,22,stable
19125,57.4,24,stable
19127,65.8,35,falling
19129,73.1,13,stable
19131,48.2,9,stable
19133,58.3,9,stable
19135,74.8,9,stable
19137,59,10,stable
19139,62.8,31,stable
19141,53.2,12,stable
19143,52.1,5,stable
19145,98,23,stable
19147,61.1,9,stable
19149,54.9,18,stable
19151,52.4,6,stable
19153,75.3,309,stable
19155,84.6,94,stable
19157,43.4,12,stable
19159,46.1,4,*
19161,57.4,10,stable
19163,72.7,134,stable
19165,52.4,10,stable
19167,43.1,16,stable
19169,56,43,stable
19171,65.3,16,stable
19173,57.9,6,stable
19175,74.3,13,stable
19177,75.4,9,rising
19179,78.5,36,stable
19181,69.5,37,stable
19183,52.9,16,stable
19185,63.7,6,stable
19187,67.6,34,stable
19189,61.3,10,rising
19191,36,10,stable
19193,71.5,79,stable
19195,45.3,5,stable
19197,56.1,12,stable
20001,_ ,_,_
20003,_ ,_,_
20005,_ ,_,_
20007,_ ,_,_
20009,_ ,_,_
20011,_ ,_,_
20013,_ ,_,_
20015,_ ,_,_
20017,_ ,_,_
20019,_ ,_,_
20021,_ ,_,_
20023,_ ,_,_
20025,_ ,_,_
20027,_ ,_,_
20029,_ ,_,_
20031,_ ,_,_
20033,_ ,_,_
20035,_ ,_,_
20037,_ ,_,_
20039,_ ,_,_
20041,_ ,_,_
20043,_ ,_,_
20045,_ ,_,_
20047,_ ,_,_
20049,_ ,_,_
20051,_ ,_,_
20053,_ ,_,_
20055,_ ,_,_
20057,_ ,_,_
20059,_ ,_,_
20061,_ ,_,_
20063,_ ,_,_
20065,_ ,_,_
20067,_ ,_,_
20069,_ ,_,_
20071,_ ,_,_
20073,_ ,_,_
20075,_ ,_,_
20077,_ ,_,_
20079,_ ,_,_
20081,_ ,_,_
20083,_ ,_,_
20085,_ ,_,_
20087,_ ,_,_
20089,_ ,_,_
20091,_ ,_,_
20093,_ ,_,_
20095,_ ,_,_
20097,_ ,_,_
20099,_ ,_,_
20101,_ ,_,_
20103,_ ,_,_
20105,_ ,_,_
20107,_ ,_,_
20109,_ ,_,_
20111,_ ,_,_
20113,_ ,_,_
20115,_ ,_,_
20117,_ ,_,_
20119,_ ,_,_
20121,_ ,_,_
20123,_ ,_,_
20125,_ ,_,_
20127,_ ,_,_
20129,_ ,_,_
20131,_ ,_,_
20133,_ ,_,_
20135,_ ,_,_
20137,_ ,_,_
20139,_ ,_,_
20141,_ ,_,_
20143,_ ,_,_
20145,_ ,_,_
20147,_ ,_,_
20149,_ ,_,_
20151,_ ,_,_
20153,_ ,_,_
20155,_ ,_,_
20157,_ ,_,_
20159,_ ,_,_
20161,_ ,_,_
20163,_ ,_,_
20165,_ ,_,_
20167,_ ,_,_
20169,_ ,_,_
20171,_ ,_,_
20173,_ ,_,_
20175,_ ,_,_
20177,_ ,_,_
20179,_ ,_,_
20181,_ ,_,_
20183,_ ,_,_
20185,_ ,_,_
20187,_ ,_,_
20189,_ ,_,_
20191,_ ,_,_
20193,_ ,_,_
20195,_ ,_,_
20197,_ ,_,_
20199,_ ,_,_
20201,_ ,_,_
20203,_ ,_,_
20205,_ ,_,_
20207,_ ,_,_
20209,_ ,_,_
21001,91.2,21,stable
21003,82.9,20,stable
21005,95.1,23,stable
21007,94.3,11,stable
21009,106.9,58,stable
21011,109,16,stable
21013,99.5,37,stable
21015,86,90,stable
21017,93.4,24,stable
21019,92.7,61,stable
21021,77.6,29,stable
21023,120.6,12,stable
21025,105.7,18,stable
21027,110.2,29,stable
21029,90.9,70,stable
21031,87.2,14,rising
21033,103.9,19,stable
21035,79.1,35,stable
21037,94.5,93,stable
21039,95.2,7,stable
21041,120.7,15,stable
21043,103,35,stable
21045,108.6,23,stable
21047,84.9,53,falling
21049,93.4,40,stable
21051,118.6,28,stable
21053,111.7,16,stable
21055,76.6,10,stable
21057,96.4,10,stable
21059,110.2,130,stable
21061,85.6,14,stable
21063,73.8,8,stable
21065,124.6,24,stable
21067,74,206,stable
21069,90.5,16,stable
21071,149.4,73,falling
21073,93,56,stable
21075,112.4,11,stable
21077,104,9,stable
21079,97.8,21,stable
21081,95.8,23,stable
21083,85.8,43,stable
21085,129.7,43,stable
21087,86.4,14,stable
21089,107.4,54,stable
21091,81.9,9,stable
21093,101.5,104,stable
21095,127.6,48,stable
21097,95.8,23,stable
21099,114.5,27,stable
21101,97.8,54,stable
21103,109.3,21,stable
21105,80,6,stable
21107,89.9,55,stable
21109,118.3,20,stable
21111,89.6,759,stable
21113,89,44,stable
21115,113,33,stable
21117,90.3,145,stable
21119,116.1,23,stable
21121,125,50,falling
21123,74.6,14,stable
21125,89.1,61,stable
21127,113.9,22,stable
21129,117.7,11,stable
21131,151.8,22,stable
21133,118.5,37,stable
21135,112.6,19,stable
21137,98.5,31,stable
21139,113.1,16,stable
21141,103.5,36,falling
21143,86.4,12,stable
21145,80.9,72,stable
21147,157.5,31,stable
21149,101.7,14,stable
21151,91.6,76,stable
21153,109.7,16,rising
21155,100.8,22,stable
21157,82.9,40,stable
21159,145.1,20,stable
21161,123.7,27,stable
21163,118.1,33,stable
21165,124.6,11,stable
21167,93.3,27,stable
21169,107.7,15,stable
21171,106.8,16,stable
21173,94.8,29,stable
21175,98.9,16,stable
21177,102.6,42,stable
21179,90.4,42,stable
21181,106.5,10,stable
21183,124.8,38,stable
21185,77.2,43,stable
21187,91.2,12,stable
21189,148.1,9,stable
21191,97.9,16,stable
21193,139.7,49,falling
21195,123,98,stable
21197,152.9,23,stable
21199,93.6,80,stable
21201,111.8,4,stable
21203,118.1,25,stable
21205,92.4,22,stable
21207,102.4,25,stable
21209,87.3,37,stable
21211,76.6,36,stable
21213,106.5,22,stable
21215,84.8,15,stable
21217,100.2,32,stable
21219,83.1,12,stable
21221,94.6,20,stable
21223,113.2,12,stable
21225,106.4,17,stable
21227,91.3,100,stable
21229,80.5,12,stable
21231,101.7,28,stable
21233,109.1,19,stable
21235,122.4,50,stable
21237,118.3,11,stable
21239,68.2,20,stable
22001,79.6,53,stable
22003,71.2,19,stable
22005,68.6,63,stable
22007,77.8,21,stable
22009,85.2,42,stable
22011,76.4,30,stable
22013,82,16,stable
22015,75.3,91,stable
22017,69,201,stable
22019,68.4,145,stable
22021,95.2,12,stable
22023,64.1,5,stable
22025,93,12,stable
22027,69.5,15,stable
22029,76.7,19,stable
22031,80.7,27,stable
22033,56.4,240,stable
22035,98,8,stable
22037,61.1,15,stable
22039,81.8,30,stable
22041,77.2,21,stable
22043,100.8,24,stable
22045,78.2,60,stable
22047,92.2,34,stable
22049,80.5,18,stable
22051,67.4,340,stable
22053,81.8,31,stable
22055,69.9,145,stable
22057,70.9,73,stable
22059,87.6,16,falling
22061,60.7,27,stable
22063,81.6,98,stable
22065,66.7,9,stable
22067,76.1,27,stable
22069,66,29,stable
22071,67.6,242,stable
22073,78.3,126,stable
22075,70.4,17,stable
22077,53.5,17,stable
22079,68.9,103,stable
22081,57.9,6,stable
22083,79,19,stable
22085,66.5,23,falling
22087,97.4,33,stable
22089,71.2,36,stable
22091,64.3,9,stable
22093,58,14,stable
22095,61.6,27,stable
22097,80.3,76,stable
22099,75.1,42,stable
22101,66.6,40,stable
22103,67.3,179,stable
